offer_id,year_built,building_series,garbage_chute,elevators,building_type,ceiling_type,parking,entrances,heating,emergency,gas_supply
300553496,1967,II-18,,,,Железобетонные,,1,Центральное,Нет,
298970024,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
295252797,1976,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,7,Центральное,Нет,
294961642,1967,,Да,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
294401225,1933,Индивидуальный проект,Нет,1 пассажирский,Кирпичный,Деревянные,,1,Центральное,Нет,Центральное
289350318,1929,,,1 пассажирский,Кирпичный,Деревянные,Наземная,4,Центральное,Нет,Центральное
288005740,1962,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
287535562,,,Нет,1 пассажирский,,,Наземная,,,,
284081870,1922,Индивидуальный проект,,,,Нет информации,,3,Центральное,Нет,Центральное
279286265,1959,Индивидуальный проект,Нет,,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
274598446,1970,II-49,Да,1 пассажирский,Панельный,Железобетонные,Наземная,6,Центральное,Нет,Центральное
273448248,1866,Индивидуальный проект,Да,,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
273115276,1931,Индивидуальный проект,Нет,,,Нет информации,,6,Центральное,Нет,Центральное
272600208,1926,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
272591317,1961,Индивидуальный проект,Да,,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
271159992,1904,,,,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
265122740,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
262726424,1963,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
241302321,2006,Индивидуальный проект,Да,4 пассажирских,Кирпичный,Железобетонные,,1,Центральное,Нет,
232917973,1926,,,1 пассажирский,Кирпичный,Деревянные,Наземная,6,Центральное,Нет,Центральное
222723163,1967,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,1,Центральное,Нет,
205467120,1955,Индивидуальный проект,Да,1 пассажирский,Монолитный,Железобетонные,,3,Центральное,Нет,Центральное
199570370,1959,Индивидуальный проект,Нет,1 пассажирский,Кирпичный,Нет информации,,13,Центральное,Нет,Центральное
192845340,1957,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,6,Центральное,Нет,Центральное
184978796,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
166163447,1970,Башня Вулыха,Да,2 пассажирских,Кирпичный,Железобетонные,Подземная,1,Центральное,Нет,
164777045,1952,Индивидуальный проект,,1 пассажирский,,Нет информации,,2,Центральное,Нет,
164708200,1961,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
162193182,1965,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,Наземная,3,Центральное,Нет,Центральное
161928651,1958,II-04,,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
153942662,1937,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Смешанные,Наземная,18,Центральное,Нет,Центральное
315532779,1959,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315928663,2021,Индивидуальный проект,Да,"2 пассажирских, 1 грузовой",Монолитный,Железобетонные,Подземная,4,Центральное,Нет,
315634735,1965,Индивидуальный проект,,,,Нет информации,Наземная,8,Центральное,Нет,Центральное
314717237,,,,1 пассажирский,,,Наземная,,,,
313708987,1963,II-18,Да,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
314019589,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315523211,1970,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,
315227868,1955,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,
261664001,1957,Индивидуальный проект,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
287756063,1969,Индивидуальный проект,Да,2 пассажирских,Блочный,Железобетонные,Наземная,2,Центральное,Нет,
201291279,1970,II-49,,1 пассажирский,Панельный,Железобетонные,,6,Центральное,Нет,Центральное
312592732,1956,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,4,Центральное,Нет,Центральное
198394022,1961,Индивидуальный проект,Да,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315375920,1963,1-511,Да,,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
314690850,1958,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
315468710,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315566038,1876,Индивидуальный проект,,,Кирпичный,Деревянные,,7,Центральное,Нет,Центральное
315688974,1965,,,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
182246958,1955,,,1 пассажирский,Кирпичный,Железобетонные,Наземная,8,Центральное,Нет,
316085766,1962,,Да,2 пассажирских,Кирпичный,Нет информации,Наземная,1,Центральное,Нет,Центральное
316077720,1979,1-515,Да,1 пассажирский,Панельный,Нет информации,,4,Центральное,Нет,
316063232,,,,1 пассажирский,Кирпичный,,,,,,
316063035,1972,Индивидуальный проект,Да,4 пассажирских,Панельный,Железобетонные,Наземная,4,Центральное,Нет,
316061559,1928,Индивидуальный проект,,,Кирпичный,Деревянные,,5,Центральное,Нет,Центральное
316060615,1966,II-18-01/12,,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
316047855,1979,1-515,,,Панельный,Нет информации,Наземная,4,Центральное,Нет,
316039075,1967,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
316031652,1966,II-18-01/12,Да,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,Наземная,2,Центральное,Нет,
316029933,1914,Индивидуальный проект,Да,"3 пассажирских, 1 грузовой",Кирпичный,Нет информации,,2,Центральное,Нет,
316029241,1990,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,9,Центральное,Нет,
316029136,1974,Башня Вулыха,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
316027445,1967,Индивидуальный проект,,,Панельный,Железобетонные,,1,Центральное,Нет,
316020511,1957,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
316018561,1958,1-510,,,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
316016115,1960,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
316015907,1966,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,1,Центральное,Нет,
316015200,1963,Индивидуальный проект,Да,2 пассажирских,Монолитный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
316009307,1955,Индивидуальный проект,,,Кирпичный,Железобетонные,,5,Центральное,Нет,
316006051,1958,Индивидуальный проект,,1 пассажирский,Блочный,Железобетонные,Открытая,4,Центральное,Нет,Центральное
316003714,1935,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315998815,1972,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
315988478,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315986368,1965,,Да,"1 пассажирский, 1 грузовой",,Нет информации,Наземная,5,Центральное,Нет,Центральное
315985003,1931,Индивидуальный проект,,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315984105,1956,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315982292,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315979992,1965,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,1,Центральное,Нет,
315977648,1926,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315963981,1907,Индивидуальный проект,,,,Смешанные,Наземная,2,Центральное,Нет,Центральное
315960228,,,Да,1 пассажирский,,,Наземная,,,,
315940995,1959,Индивидуальный проект,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
315938837,1981,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315937890,1982,ii-68,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,1,Центральное,Нет,
315934380,1958,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
315933413,1931,Индивидуальный проект,Да,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315930241,1961,II-18,,1 пассажирский,Блочный,Железобетонные,,1,Центральное,Нет,Центральное
315916928,,,,1 пассажирский,,,Наземная,,,,
315915558,1960,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
315913661,2000,П-44,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,5,Центральное,Нет,
315911384,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315910730,1963,II-18,,1 пассажирский,Блочный,Железобетонные,,1,Центральное,Нет,Центральное
315910228,,,Нет,,,,Наземная,,,,
315907723,1967,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,,1,Центральное,Нет,
315905856,2021,,,2 грузовых,Монолитный,Нет информации,Наземная,,Нет информации,Нет,
315905314,1962,Индивидуальный проект,,,,Нет информации,,4,Центральное,Нет,Центральное
315904837,1956,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,6,Центральное,Нет,Центральное
315904699,,,,,Кирпичный,,,,,,
315904568,,,,1 пассажирский,,,,,,,
315900473,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315900371,1959,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,13,Центральное,Нет,Центральное
315898658,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315897929,1986,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,3,Центральное,Нет,
315890062,1962,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315881468,2000,П-44,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,5,Центральное,Нет,
315880197,,,,1 пассажирский,,,Наземная,,,,
315867597,1974,ii-68,,,Панельный,Железобетонные,,2,Центральное,Нет,
315858476,1960,1-510,,,Блочный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315855902,1960,,Да,1 пассажирский,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
315855718,1928,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,5,Центральное,Нет,Центральное
315855629,1972,Индивидуальный проект,,2 пассажирских,Панельный,Железобетонные,Наземная,4,Центральное,Нет,
315850008,2000,П-44,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,5,Центральное,Нет,
315833677,1912,Индивидуальный проект,,,Кирпичный,Смешанные,,2,Центральное,Нет,Центральное
315827935,1964,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315821066,1960,1-510,,,Блочный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315820540,1925,,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,2,Центральное,Нет,Центральное
315816443,1958,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
315816180,1934,,,,Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
315812551,1963,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,4,Центральное,Нет,Центральное
316085766,1962,,Да,2 пассажирских,Кирпичный,Нет информации,Наземная,1,Центральное,Нет,Центральное
316077720,1979,1-515,Да,1 пассажирский,Панельный,Нет информации,,4,Центральное,Нет,
316063232,,,,1 пассажирский,Кирпичный,,,,,,
316063035,1972,Индивидуальный проект,Да,4 пассажирских,Панельный,Железобетонные,Наземная,4,Центральное,Нет,
316061559,1928,Индивидуальный проект,,,Кирпичный,Деревянные,,5,Центральное,Нет,Центральное
316060615,1966,II-18-01/12,,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
316047855,1979,1-515,,,Панельный,Нет информации,Наземная,4,Центральное,Нет,
316039075,1967,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
316036297,2010,Индивидуальный проект,Да,"4 пассажирских, 2 грузовых",Монолитный,Железобетонные,Подземная,6,Центральное,Нет,
316031652,1966,II-18-01/12,Да,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,Наземная,2,Центральное,Нет,
316029933,1914,Индивидуальный проект,Да,"3 пассажирских, 1 грузовой",Кирпичный,Нет информации,,2,Центральное,Нет,
316029241,1990,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,9,Центральное,Нет,
316029136,1974,Башня Вулыха,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
316027445,1967,Индивидуальный проект,,,Панельный,Железобетонные,,1,Центральное,Нет,
316020511,1957,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
316018561,1958,1-510,,,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
316016115,1960,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
316015907,1966,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,1,Центральное,Нет,
316015200,1963,Индивидуальный проект,Да,2 пассажирских,Монолитный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
316009307,1955,Индивидуальный проект,,,Кирпичный,Железобетонные,,5,Центральное,Нет,
316006051,1958,Индивидуальный проект,,1 пассажирский,Блочный,Железобетонные,Открытая,4,Центральное,Нет,Центральное
316003714,1935,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315998815,1972,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
315988478,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315986835,2010,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Монолитный,Железобетонные,Подземная,6,Центральное,Нет,
315986368,1965,,Да,"1 пассажирский, 1 грузовой",,Нет информации,Наземная,5,Центральное,Нет,Центральное
315985003,1931,Индивидуальный проект,,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315984105,1956,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315979992,1965,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,1,Центральное,Нет,
315977648,1926,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315963981,1907,Индивидуальный проект,,,,Смешанные,Наземная,2,Центральное,Нет,Центральное
315962374,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
315960228,1978,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
315957488,1960,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,9,Центральное,Нет,Центральное
315943273,1967,И-209А,Да,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,
315940995,1959,Индивидуальный проект,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
315938837,1981,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315934380,1958,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
315933413,1931,Индивидуальный проект,Да,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315929747,,,Да,"3 пассажирских, 1 грузовой",Монолитный,,Подземная,,,,
315916928,,,,1 пассажирский,,,Наземная,,,,
315915558,1960,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
315913661,2000,П-44,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,5,Центральное,Нет,
315911384,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315910730,1963,II-18,,1 пассажирский,Блочный,Железобетонные,,1,Центральное,Нет,Центральное
315910228,1957,Индивидуальный проект,Нет,,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315909802,1929,Индивидуальный проект,,,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315907723,1967,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,,1,Центральное,Нет,
315905856,2021,,,2 грузовых,Монолитный,Нет информации,Наземная,,Нет информации,Нет,
315904837,1956,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,6,Центральное,Нет,Центральное
315904699,,,,,Кирпичный,,,,,,
315900473,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315900371,1959,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,13,Центральное,Нет,Центральное
315897929,1986,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,3,Центральное,Нет,
315897325,2010,Индивидуальный проект,Да,"5 пассажирских, 5 грузовых",Монолитный,Железобетонные,Наземная,6,Центральное,Нет,
315890062,1962,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315890014,2003,П-44,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,
315881468,2000,П-44,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,5,Центральное,Нет,
315880197,,,,1 пассажирский,,,Наземная,,,,
315876270,1977,,Да,"1 пассажирский, 1 грузовой",,Железобетонные,Наземная,2,Центральное,Нет,
315867597,1974,ii-68,,,Панельный,Железобетонные,,2,Центральное,Нет,
315858476,1960,1-510,,,Блочный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315855902,1960,,Да,1 пассажирский,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
315855718,1928,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,5,Центральное,Нет,Центральное
315855629,1972,Индивидуальный проект,,2 пассажирских,Панельный,Железобетонные,Наземная,4,Центральное,Нет,
315850008,2000,П-44,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,5,Центральное,Нет,
315833677,1912,Индивидуальный проект,,,Кирпичный,Смешанные,,2,Центральное,Нет,Центральное
315827935,1964,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315821066,1960,1-510,,,Блочный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315820540,1925,,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,2,Центральное,Нет,Центральное
315816443,1958,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
315816180,1934,,,,Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
315812551,1963,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,4,Центральное,Нет,Центральное
315810088,1912,Индивидуальный проект,,,Кирпичный,Смешанные,Наземная,2,Центральное,Нет,Центральное
315809659,1961,Индивидуальный проект,,,Монолитный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
316036297,2010,Индивидуальный проект,Да,"4 пассажирских, 2 грузовых",Монолитный,Железобетонные,Подземная,6,Центральное,Нет,
314897737,1954,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315607887,2018,Индивидуальный проект,,"4 пассажирских, 2 грузовых",Монолитный,Железобетонные,Подземная,3,Индивидуальный тепловой пункт,Нет,
315910228,1957,Индивидуальный проект,Нет,,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
313864937,1963,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315749276,1984,,,2 пассажирских,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,
303110798,1974,ii-68,Да,2 пассажирских,Панельный,Железобетонные,Наземная,2,Центральное,Нет,
314329494,1969,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
315904699,,,,,Кирпичный,,,,,,
315809659,1961,Индивидуальный проект,,,Монолитный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315905263,1962,Индивидуальный проект,,,,Железобетонные,Наземная,6,Центральное,Нет,Центральное
314746074,1961,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,12,Центральное,Нет,
312685160,1960,Индивидуальный проект,,,,Нет информации,Наземная,9,Центральное,Нет,Центральное
314971556,1960,1-515,,,Панельный,Железобетонные,Открытая,4,Центральное,Нет,Центральное
299140598,1963,II-18,Да,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315648902,1964,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,10,Центральное,Нет,Центральное
284081870,1922,Индивидуальный проект,,,,Нет информации,,3,Центральное,Нет,Центральное
299794333,1959,Индивидуальный проект,Да,,,Нет информации,Наземная,4,Центральное,Нет,Центральное
276398314,1974,1-515,Да,1 пассажирский,Панельный,Нет информации,,4,Центральное,Нет,Центральное
315774297,1961,,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,9,Центральное,Нет,Центральное
311802061,1930,,,1 пассажирский,Кирпичный,Деревянные,Наземная,7,Центральное,Нет,Центральное
272160985,2018,Индивидуальный проект,,1 пассажирский,Монолитный,Железобетонные,,3,Индивидуальный тепловой пункт,Нет,
314373441,1953,Индивидуальный проект,Нет,1 пассажирский,Кирпичный,Железобетонные,Наземная,22,Центральное,Нет,Центральное
307385396,1968,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
315059903,1928,Индивидуальный проект,Нет,,Кирпичный,Деревянные,,4,Центральное,Нет,Центральное
298732542,,,Да,1 пассажирский,Кирпичный,,Наземная,,,,
314875890,1966,II-29-41/37,Да,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315935156,1965,,,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,
313547286,1951,Индивидуальный проект,,,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
316060615,1966,II-18-01/12,,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
315665458,2010,Индивидуальный проект,Да,"5 пассажирских, 5 грузовых",Монолитный,Железобетонные,Наземная,6,Центральное,Нет,
167530364,1964,II-18,,,Блочный,Железобетонные,,1,Центральное,Нет,Центральное
254057776,1961,1-515,,,,Железобетонные,,3,Центральное,Нет,Центральное
315614690,1961,,,,Панельный,Железобетонные,Открытая,3,Центральное,Нет,Центральное
314327404,1980,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,2,Центральное,Нет,
315890062,1962,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
312606307,1937,,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
315940995,1959,Индивидуальный проект,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
315982292,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315909802,1929,Индивидуальный проект,,,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315730547,1945,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,19,Центральное,Нет,
312246667,1976,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,1,Центральное,Нет,
289350318,1929,,,1 пассажирский,Кирпичный,Деревянные,Наземная,4,Центральное,Нет,Центральное
315268246,1965,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,6,Центральное,Нет,
277627143,1931,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,5,Центральное,Нет,Центральное
315006192,1978,Индивидуальный проект,,,,Железобетонные,,1,Центральное,Нет,
315730427,,,Да,1 пассажирский,Кирпичный,,,,,,
315728836,1978,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
316015907,1966,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,1,Центральное,Нет,
315986835,2010,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Монолитный,Железобетонные,Подземная,6,Центральное,Нет,
315036193,1972,И-209А,Да,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
215189636,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,,5,Центральное,Нет,Центральное
298970024,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
315485320,1964,II-18,Да,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,Центральное
307209504,2000,КОПЭ,Да,"2 пассажирских, 1 грузовой",Панельный,Железобетонные,Наземная,3,Центральное,Нет,
199570370,1959,Индивидуальный проект,Нет,1 пассажирский,Кирпичный,Нет информации,,13,Центральное,Нет,Центральное
316122970,1946,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
314476389,2010,Индивидуальный проект,Нет,,Монолитный,Железобетонные,Наземная,6,Центральное,Нет,
315378243,1900,Индивидуальный проект,,1 пассажирский,Кирпичный,Деревянные,Наземная,1,Центральное,Нет,
315690340,1953,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,22,Центральное,Нет,Центральное
315542107,2001,П-44,Да,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,Наземная,3,Центральное,Нет,
275587572,2010,Индивидуальный проект,Да,"4 пассажирских, 1 грузовой",Монолитный,Железобетонные,Подземная,6,Центральное,Нет,
314934705,1965,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315304403,2010,Индивидуальный проект,Да,"5 пассажирских, 5 грузовых",Монолитный,Железобетонные,Наземная,6,Центральное,Нет,
153942662,1937,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Смешанные,Наземная,18,Центральное,Нет,Центральное
262726424,1963,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315056181,1967,II-18,,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,
